"id_fuente","archivo","extension","sha256","bytes","mtime_iso","grupo","titulo_detectado","roles_presentes","cobertura_secciones_pct","duplicado","neardup","jaccard","origen_canonico","observaciones"
"resumen_global","resumen_global.md","md","b1770480a1a49b80c4c86938242e2a4e585d98fbfc631a20dc72b6959f86b9af","123","2025-09-29T22:43:38Z","otros","[unknown]","unknown","0","NO","NO","","",""
"Repo_AR_AUDIT_2025-09-29","Repo_AR_AUDIT_2025-09-29.md","md","7add3da1dc1e8b8ad32d52ede54e2ca59b89ce77026c97444369f34566b4b203","89186","2025-09-29T22:43:38Z","automatización/scripting","[unknown]","unknown","29","NO","NO","","",""
"informe_grupo-otros","informe_grupo-otros.md","md","6ddc9524209fc47bc8cf71940abdaf28a278d0de1dd490180a7cd6cedaf71ae0","812","2025-09-29T22:43:38Z","prompts/plantillas","[unknown]","unknown","100","NO","NO","","",""
"2025-09-29-conversations/2025-9-29/10-43-23-An_lisis_de_ingesta_y_normalizaci_n","2025-09-29-conversations/2025-9-29/10-43-23-An_lisis_de_ingesta_y_normalizaci_n.json","json","5e119c3f4bf3a57ee3062ed7fd4614f84e38e7240dcac6d1fd976797814a4853","129964","2025-09-29T22:43:36Z","prompts/plantillas","[user]","assistant,system,user","100","NO","NO","","",""
"System_Core/2025-9-20/6-25-46-Script_para_informaci_n_entorno","System_Core/2025-9-20/6-25-46-Script_para_informaci_n_entorno.md","md","d687324b59a167e52bd3023d50626b8a2057f8c12e45c93937190a0510143b44","317482","2025-09-29T22:43:38Z","prompts/plantillas","[unknown]","assistant,system,tool,unknown,user","100","NO","NO","","",""
"System_Core/2025-9-20/8-42-19-Guardar_contenido_documento","System_Core/2025-9-20/8-42-19-Guardar_contenido_documento.json","json","517ea4d05abc6e450d22073c415899ec1a61ef978a58c2cfb993590452f9b525","143662","2025-09-29T22:43:38Z","análisis de datos","[user]","assistant,system,tool,user","86","NO","NO","","",""
"System_Core/2025-9-25/12-38-19-Resumen_archivo_adjunto","System_Core/2025-9-25/12-38-19-Resumen_archivo_adjunto.json","json","51608ad1cc94b320341ce6e20b3118cf1c0052ba699cc56ece505c00945a287e","67612","2025-09-29T22:43:38Z","prompts/plantillas","[user]","assistant,system,tool,unknown,user","71","NO","NO","","",""
"System_Core/2025-9-28/10-17-59-SOP_para_ChatGPT","System_Core/2025-9-28/10-17-59-SOP_para_ChatGPT.json","json","36d425379ebdc406b67d0dbfc501f8da7bb26a3156860ea91ee868339d6faa7d","101679","2025-09-29T22:43:38Z","prompts/plantillas","[user]","assistant,chatgpt,operador,system,tool,user","86","NO","NO","","",""
"System_Core/2025-9-28/21-49-34-Significado_de_mnt","System_Core/2025-9-28/21-49-34-Significado_de_mnt.md","md","ff8aa585c11b98ef4512467fc056b0f8f8ba1feaddd795241ac6dcf47f07decd","185155","2025-09-29T22:43:38Z","prompts/plantillas","[unknown]","assistant,system,unknown,user","86","NO","NO","","",""
"System_Core/2025-9-28/23-59-37-_Funciones_Python____INIT__","System_Core/2025-9-28/23-59-37-_Funciones_Python____INIT__.md","md","999c01d0a7c03c1e34d64a13b39320593b4b4b575632f31a44c6eefdce952bbb","94634","2025-09-29T22:43:38Z","prompts/plantillas","[unknown]","assistant,system,tool,unknown,user","86","NO","NO","","",""
"System_Core/2025-9-27/2-39-51-Mejor_script","System_Core/2025-9-27/2-39-51-Mejor_script.md","md","8ab44143d334ec0b8bd56ccdfd704c0d362f2e7b5771dcecdc2c033dea4a5b2c","324726","2025-09-29T22:43:38Z","prompts/plantillas","[corta]","assistant,corta,fecha,objetivo,rol,system,tool,user","100","NO","NO","","",""
"System_Core/2025-9-29/10-43-23-An_lisis_de_ingesta_y_normalizaci_n","System_Core/2025-9-29/10-43-23-An_lisis_de_ingesta_y_normalizaci_n.md","md","89d7106f223d3949c9147da4271cb4ff9506e04dc1e64e6247aa7e047f6f068e","43847","2025-09-29T22:43:38Z","","[unknown]","assistant,system,unknown,user","0","SI","SI","0.83","2025-09-29-conversations/2025-9-29/10-43-23-An_lisis_de_ingesta_y_normalizaci_n",""
"System_Core/2025-9-29/7-55-5-An_lisis_archivo__zip","System_Core/2025-9-29/7-55-5-An_lisis_archivo__zip.md","md","5664e48209bee7ff5daf4db124a05c3dcb859b17c34b1f6e8727c0bf4541fa32","73971","2025-09-29T22:43:38Z","prompts/plantillas","[rol]","assistant,importante,rol,system,tool,user","100","NO","NO","","",""
